msg,Id
Messages,7825
"09:57 pm March 8, 2017                             Scrum.org may, at its discretion, remove any post that it deems unsuitable for these forums. Unsuitable post content includes, but is not limited to, Scrum.org Professional-level assessment questions and answers, profanity, insults, racism or sexually explicit content. Using our forum as a platform for the marketing and solicitation of products or services is also prohibited. Forum members who post content deemed unsuitable by Scrum.org may have their access revoked at any time, without warning. Scrum.org may, but is not obliged to, monitor submissions.",7825
Log in to reply,7825
Messages,8228
"01:29 pm April 10, 2017                             Hi,I am a Scrum Master who has been working with a couple of different teams over the past few months.One of the teams I joined, from my observations and discussions in retro's, don't want to follow the basic rules of Scrum. eg. One of the developers sees no point to the Planning meeting, and is happy once the items have been Groomed in advance to figure it out himself once he picks it up - he has made it clear he sees himself as a prisoner in most of our meetings and does not want to go. Another developer sees anything process related as being a waste of time, and just wants to focus on coding. The team don't have a stable velocity, and there is no concern if stories don't get done within the sprint. We do retro's, and I try to explain the benefits and reasons we do these meetings, practices, etc. and I have given workshops on things like writing user stories, Agile values, etc. - its clear Scrum or Agile is not widely accepted by the team. Here's the thing: the Product Owner is happy, the team is happy with the way things are, and management aren't concerned or putting pressure on around things like predicability, as we have very long release cycles to our production environment (every 6 months). I find this a difficult position as a Scrum Master to work in and its not something I've experience with other teams before. Has anyone ever been in this situation as a Scrum Master, and if so, what did you do?",8228
"06:02 pm April 10, 2017                    If people are happy right now then that's great. Perhaps the organization faces little risk and complexity and don't actually need Scrum.Rather, the problem would lie in pretending to do Scrum. It's important to avoid using Scrum terminology where Scrum isn't happening. If I was you, that's where I'd start. I'd correct people when they use the terminology inappropriately. I'd explain what is needed for the words to hold true. Part of being a Scrum Master is being an organizational coach. If coaching is perceived negatively by the organization - and it might be - I'd want to flush the problem out.          Log in or register to post comments",8228
"11:03 am April 11, 2017                    Hi Ian,This is the feeling I get - the organisation doesn't see a risk of doing things wrong because they are quite far ahead of competitors.Any advice on flushing the problem around coaching perceptions out?           Log in or register to post comments",8228
Log in to reply,8228
Messages,8214
"08:01 pm April 8, 2017                             Hi CommunityI’m not a native English speaker, I’ve a goal to get my PSM 1 certification in first attempt. So here am I asking for the best advice, to be certified PSM 1.?Right now I’m reading the Scrum guide “2016-Scrum-Guide-US”Sooner I’ll test my knowledge on :http://mlapshin.com/index.php/2015/09/08/psm-exam/https://www.classmarker.com/online-test/start/?quiz=vek54a6ec10658efWhat do you think ?I do not have sufficient money to buy additional resource’s, so I’m searching what can help me to get this certification.Thanks for your answersYK ",8214
