Title,url,Nb_replies,Id
Scrum.org Terms of Use,https://www.scrum.org/forum/scrum-forum/7825/scrumorg-terms-use,0,7825
Need Advice about PSM 1,https://www.scrum.org/forum/scrum-forum/8214/need-advice-about-psm-1,1,8214
What to do if the team is finishing the sprint to early?,https://www.scrum.org/forum/scrum-forum/5554/what-do-if-team-finishing-sprint-early,18,5554
Implementing Scrum Within Waterfall Methodology,https://www.scrum.org/forum/scrum-forum/8229/implementing-scrum-within-waterfall-methodology,1,8229
Team doesn't see value in Scrum,https://www.scrum.org/forum/scrum-forum/8228/team-doesnt-see-value-scrum,1,8228
"I wanted to consult, internet pages where to practice the exam",https://www.scrum.org/forum/scrum-forum/8220/i-wanted-consult-internet-pages-where-practice-exam,0,8220
I have been told Scrum does not deal with technical issues,https://www.scrum.org/forum/scrum-forum/8215/i-have-been-told-scrum-does-not-deal-technical-issues,2,8215
Writing Test cases in Agile,https://www.scrum.org/forum/scrum-forum/8198/writing-test-cases-agile,5,8198
Selecting PBI for the Sprint Backlog,https://www.scrum.org/forum/scrum-forum/8212/selecting-pbi-sprint-backlog,2,8212
My experience tackling the PSM II as a first certification,https://www.scrum.org/forum/scrum-forum/7814/my-experience-tackling-psm-ii-first-certification,3,7814
Development Team:  Can PO & SM be a part of it?,https://www.scrum.org/forum/scrum-forum/8213/development-team-can-po-sm-be-part-it,1,8213
Changing Sprint Backlog,https://www.scrum.org/forum/scrum-forum/8205/changing-sprint-backlog,2,8205
Thoughts on the new PSM II assessment,https://www.scrum.org/forum/scrum-forum/7291/thoughts-new-psm-ii-assessment,23,7291
PSM III in comparison to PSM II,https://www.scrum.org/forum/scrum-forum/7502/psm-iii-comparison-psm-ii,5,7502
Quality metric in SCRUM,https://www.scrum.org/forum/scrum-forum/5713/quality-metric-scrum,10,5713
Scrum practioner questions,https://www.scrum.org/forum/scrum-forum/8181/scrum-practioner-questions,1,8181
Achieved 86% in PSM-1 certification appeared in first attempt,https://www.scrum.org/forum/scrum-forum/8204/achieved-86-psm-1-certification-appeared-first-attempt,1,8204
Scrum Team Roles - are there really only 3?,https://www.scrum.org/forum/scrum-forum/8211/scrum-team-roles-are-there-really-only-3,3,8211
Scrum with DevOps - question about teams,https://www.scrum.org/forum/scrum-forum/8209/scrum-devops-question-about-teams,3,8209
The Sprit Goal is selected BEFORE or AFTER the Sprint Backlog is created,https://www.scrum.org/forum/scrum-forum/5960/sprit-goal-selected-or-after-sprint-backlog-created,18,5960
What belongs solely to Development Team?,https://www.scrum.org/forum/scrum-forum/8207/what-belongs-solely-development-team,1,8207
Completed PSM 1 with 96.3% first attempt,https://www.scrum.org/forum/scrum-forum/8142/completed-psm-1-963-first-attempt,7,8142
Virtual Teams in Scrum Model,https://www.scrum.org/forum/scrum-forum/8163/virtual-teams-scrum-model,4,8163
"Scrum does not work for me, any other option?",https://www.scrum.org/forum/scrum-forum/7954/scrum-does-not-work-me-any-other-option,4,7954
Who is absolutely necessary for one of these meetings?,https://www.scrum.org/forum/scrum-forum/8011/who-absolutely-necessary-one-these-meetings,6,8011
Product backlog management responsibility,https://www.scrum.org/forum/scrum-forum/8195/product-backlog-management-responsibility,5,8195
Story points vs hours,https://www.scrum.org/forum/scrum-forum/8196/story-points-vs-hours,3,8196
Do items listed in your defintion of done end up on your taskboard as individual tasks?,https://www.scrum.org/forum/scrum-forum/8203/do-items-listed-your-defintion-done-end-your-taskboard-individual-tasks,1,8203
PSM I Certification Preparation and a Open Question,https://www.scrum.org/forum/scrum-forum/6046/psm-i-certification-preparation-and-open-question,20,6046
Is self-organisation always appropriate?,https://www.scrum.org/forum/scrum-forum/8185/self-organisation-always-appropriate,6,8185
Time Boxed Events,https://www.scrum.org/forum/scrum-forum/7242/time-boxed-events,8,7242
Passed PSM I,https://www.scrum.org/forum/scrum-forum/8087/passed-psm-i,4,8087
Who is allowed to attend a Daily Meeting,https://www.scrum.org/forum/scrum-forum/5349/who-allowed-attend-daily-meeting,24,5349
A change to the Sprint Backlog during the Sprint,https://www.scrum.org/forum/scrum-forum/5894/change-sprint-backlog-during-sprint,5,5894
Minimum length of a sprint and sprint goal,https://www.scrum.org/forum/scrum-forum/8166/minimum-length-sprint-and-sprint-goal,9,8166
It's not difficult to pass PSM 1,https://www.scrum.org/forum/scrum-forum/8028/its-not-difficult-pass-psm-1,9,8028
Development KPIs and Scrum?,https://www.scrum.org/forum/scrum-forum/8192/development-kpis-and-scrum,0,8192
Open Invitation to Sprint Review,https://www.scrum.org/forum/scrum-forum/8186/open-invitation-sprint-review,3,8186
non-functional requirements,https://www.scrum.org/forum/scrum-forum/7314/non-functional-requirements,9,7314
How to improve communication within a team,https://www.scrum.org/forum/scrum-forum/8088/how-improve-communication-within-team,5,8088
Passed with 90%,https://www.scrum.org/forum/scrum-forum/8123/passed-90,1,8123
Scrum Master Role In Building A Self Organized Team,https://www.scrum.org/forum/scrum-forum/8169/scrum-master-role-building-self-organized-team,0,8169
"Thoughts about *How Scrum works in a fixed Price Projects""",https://www.scrum.org/forum/scrum-forum/5332/thoughts-about-how-scrum-works-fixed-price-projects,15,5332
Unable to Understand a statement in Scrum Guide,https://www.scrum.org/forum/scrum-forum/8148/unable-understand-statement-scrum-guide,1,8148
More than one product manager across a single platform?,https://www.scrum.org/forum/scrum-forum/8149/more-one-product-manager-across-single-platform,1,8149
Starting from ground zero,https://www.scrum.org/forum/scrum-forum/8141/starting-ground-zero,2,8141
For scaled scrum ... do you synchronize the end of the sprints?,https://www.scrum.org/forum/scrum-forum/8127/scaled-scrum-do-you-synchronize-end-sprints,1,8127
online tool for managment scrum team,https://www.scrum.org/forum/scrum-forum/8073/online-tool-managment-scrum-team,6,8073
PSM versus CSM,https://www.scrum.org/forum/scrum-forum/5600/psm-versus-csm,14,5600
PSPO I Certificate,https://www.scrum.org/forum/scrum-forum/8024/pspo-i-certificate,3,8024
Should you have concurrent sprints?,https://www.scrum.org/forum/scrum-forum/7622/should-you-have-concurrent-sprints,1,7622
Help: a Scrum Master is an impediment,https://www.scrum.org/forum/scrum-forum/7545/help-scrum-master-impediment,9,7545
two polarized views   |   decision is needed   |   HOW,https://www.scrum.org/forum/scrum-forum/7619/two-polarized-views-decision-needed-how,2,7619
Retrospective or Not,https://www.scrum.org/forum/scrum-forum/7621/retrospective-or-not,2,7621
Team design in scaled scrum / nexus,https://www.scrum.org/forum/scrum-forum/7614/team-design-scaled-scrum-nexus,2,7614
when definition of done change,https://www.scrum.org/forum/scrum-forum/7430/when-definition-done-change,9,7430
Changing sprint scope and goal,https://www.scrum.org/forum/scrum-forum/5790/changing-sprint-scope-and-goal,17,5790
How to pass PSM 1 easily,https://www.scrum.org/forum/scrum-forum/7617/how-pass-psm-1-easily,1,7617
Demo'ing incomplete stories,https://www.scrum.org/forum/scrum-forum/7616/demoing-incomplete-stories,6,7616
preparing for PSM II exam,https://www.scrum.org/forum/scrum-forum/7615/preparing-psm-ii-exam,0,7615
Cleared PSM 1 in first attemp,https://www.scrum.org/forum/scrum-forum/7358/cleared-psm-1-first-attemp,1,7358
PSM I PASSED - 92% - My tips,https://www.scrum.org/forum/scrum-forum/7484/psm-i-passed-92-my-tips,5,7484
Nexus Integration Team x Scrum Team,https://www.scrum.org/forum/scrum-forum/7544/nexus-integration-team-x-scrum-team,2,7544
Integrated Testing.,https://www.scrum.org/forum/scrum-forum/7547/integrated-testing,12,7547
Nexus Sprint Goal,https://www.scrum.org/forum/scrum-forum/7612/nexus-sprint-goal,0,7612
"Can a student use Google search and Scrum Guide PDF, during the exam?",https://www.scrum.org/forum/scrum-forum/7535/can-student-use-google-search-and-scrum-guide-pdf-during-exam,7,7535
How different scrum teams implement shared components?,https://www.scrum.org/forum/scrum-forum/7549/how-different-scrum-teams-implement-shared-components,2,7549
Definition of Done: for Increment or PBI?,https://www.scrum.org/forum/scrum-forum/7528/definition-done-increment-or-pbi,11,7528
Type of Questions and exam format (PSM I),https://www.scrum.org/forum/scrum-forum/7539/type-questions-and-exam-format-psm-i,1,7539
Finding SM roles - my chicken and egg problem,https://www.scrum.org/forum/scrum-forum/7543/finding-sm-roles-my-chicken-and-egg-problem,4,7543
Multiple product owners for single team,https://www.scrum.org/forum/scrum-forum/7542/multiple-product-owners-single-team,5,7542
